C.D.S.  -  SIMBAD4 rel 1.5  -  2016.03.12CET12:33:24

Vmag < 5 & dec > -40
--------------------

Number of objects : 1443

 #  	       identifier        	typ	 coord1 (ICRS,J2000/2000)  	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	      spec. type      
----	-------------------------	---	---------------------------	------	------	------	------	------	----------------------
197 	* eps02 Lyr              	** 	281.09491902 +39.61271808  	     ~	 4.77 	 4.59 	     ~	     ~	A6Vn+A7Vn             
198 	* zet Ori A              	** 	085.189696 -01.942572      	 0.50 	 1.77 	 1.88 	 1.84 	 2.04 	O9.7Ib                
199 	* eps CrB                	** 	239.39688111 +26.87787876  	 6.650	 5.360	 4.130	 3.27 	 2.64 	K2III                 
200 	* 93 Leo                 	RS*	176.99639979 +20.21893056  	     ~	 5.053	 4.537	     ~	     ~	A7V+...               
201 	* 29 Boo A               	*i*	220.18150 +16.41831        	     ~	     ~	 4.9  	     ~	     ~	~                     
202 	* 4 UMi                  	SB*	212.21219393 +77.54751294  	     ~	 6.205	 4.813	     ~	     ~	K3III                 
203 	* 24 Cep                 	*  	332.45179261 +72.34120582  	     ~	 5.699	 4.801	     ~	     ~	G7II-III              
204 	* ome Eri                	SB*	073.22362480 -05.45269367  	     ~	 4.64 	 4.40 	     ~	     ~	A9IVn                 
205 	* tet Ant                	** 	146.05039632 -27.76947252  	 5.65 	 5.29 	 4.79 	 4.32 	 4.00 	A7V+G8III             
206 	* 70 Aql                 	*  	309.18180337 -02.54995563  	     ~	 6.534	 4.903	     ~	     ~	K3III                 
207 	* rho Hya                	*  	132.10821073 +05.83781343  	     ~	 4.327	 4.343	     ~	     ~	A0Vn                  
