 #  	       identifier        	typ	 coord1 (ICRS,J2000/2000)  	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	      spec. type      
----	-------------------------	---	---------------------------	------	------	------	------	------	----------------------
168 	* f02 Cyg                	*  	316.65039090 +47.64840251  	     ~	 6.138	 4.549	     ~	     ~	K4Ib-IIa              
169 	* gam Cae A              	*  	076.101679 -35.482975      	     ~	 5.792	 4.574	     ~	     ~	K2.5IIIb              
170 	* tau03 Eri              	*  	045.59791413 -23.62447044  	 4.33 	 4.25 	 4.09 	 3.96 	 3.87 	A3IV-V                
171 	LEDA 3129223             	PoG	116.720583 +39.014236      	     ~	 0.754	 0.895	 1.08 	     ~	~                     
172 	C 1109-600               	OpC	167.91667 -60.30972        	     ~	 4.23 	 3.9  	     ~	     ~	~                     
173 	* tet02 Ser              	*  	284.06098697 +04.20211858  	     ~	 5.18 	 4.98 	     ~	     ~	A5Vn                  
174 	* alf Aur                	SB*	079.17232794 +45.99799147  	 1.33 	 0.88 	 0.08 	-0.52 	-0.96 	G1III+K0III           
175 	* kap Vel                	SB*	140.52840671 -55.01066713  	 1.5  	 2.326	 2.464	     ~	     ~	B2IV-V                
176 	* y Eri                  	*  	054.27367446 -40.27454569  	 6.39 	 5.62 	 4.58 	 3.74 	 3.17 	K1III                 
177 	* del Lup                	bC*	230.34300699 -40.64752050  	 2.12 	 3.008	 3.203	     ~	     ~	B1.5IV                
178 	* 54 Eri                 	sr*	070.11046685 -19.67149158  	 7.80 	 5.90 	 4.30 	 2.81 	 1.40 	M3/4III               
179 	* alf01 Cap              	** 	304.41195781 -12.50821094  	 6.14 	 5.34 	 4.27 	 3.49 	 2.94 	G3Ib                  
180 	* gam02 Vel              	WR*	122.38312556 -47.33658633  	 0.64 	 1.58 	 1.83 	 1.85 	 2.00 	WC8+O7.5              
181 	* alf UMa                	SB*	165.93196467 +61.75103469  	 3.78 	 2.86 	 1.79 	 0.98 	 0.40 	G9III+A7.5            
182 	* eps Cap                	Be*	324.27012783 -19.46601288  	 3.69 	 4.35 	 4.55 	 4.60 	 4.74 	B3V                   
183 	* gam02 Leo              	PM*	154.994250 +19.840750      	     ~	 3.4  	 4.225	 2.2  	     ~	G7IIIb                
184 	Cl Stock 2               	OpC	033.6792 +59.4850          	     ~	 4.89 	 4.4  	     ~	     ~	~                     
185 	* j Cen                  	Be*	177.42108582 -63.78847913  	 3.58 	 4.174	 4.313	     ~	     ~	B3V                   
186 	* i Car                  	*  	137.81967038 -62.31698042  	 3.13 	 3.784	 3.947	     ~	     ~	B3V                   
187 	* kap01 Cet              	BY*	049.84040133 +03.37019865  	 5.71 	 5.52 	 4.85 	 4.27 	 3.91 	G5V                   
188 	* alf Cyg                	sg*	310.35797975 +45.28033881  	 1.11 	 1.34 	 1.25 	 1.14 	 1.04 	A2Ia                  
189 	* f Lup                  	V* 	229.45765869 -30.14867126  	 6.50 	 5.43 	 4.33 	 3.52 	 2.96 	K1II/III              
190 	* 15 Cyg                 	*  	296.06918684 +37.35435536  	     ~	 5.830	 4.899	     ~	     ~	G7III                 
191 	* gam Lup                	SB*	233.78520145 -41.16675687  	 1.76 	 2.586	 2.765	     ~	     ~	B2IV                  
192 	* phi Tau                	*  	065.08839919 +27.35075025  	     ~	 6.111	 4.957	     ~	     ~	K1III                 
193 	* 93 Her                 	*  	270.01423359 +16.75091942  	 7.15 	 5.93 	 4.67 	 3.80 	 3.21 	K0.5IIb               
194 	* z Car                  	*  	166.63511586 -62.42411356  	     ~	 5.626	 4.617	     ~	     ~	G8III                 
195 	* zet Boo A              	*  	220.287342 +13.728275      	     ~	 4.598	 4.547	     ~	     ~	~                     
196 	* del PsA                	*  	343.98708443 -32.53962041  	     ~	 5.179	 4.226	     ~	     ~	G8III                 
197 	* tau Tau                	SB*	070.56125671 +22.95692260  	     ~	 4.152	 4.264	     ~	     ~	B3V                   
198 	* 4 Cas                  	V* 	351.20942656 +62.28280815  	     ~	 6.660	 4.980	     ~	     ~	M1III                 
199 	* 2 Lac                  	SB*	335.25644694 +46.53656835  	 3.95 	 4.451	 4.551	     ~	     ~	B6V                   
200 	GES J12381864-6034227    	*  	189.5777701 -60.5729770    	 0.000	 0.000	 0.000	     ~	 0.000	~                     
201 	* rho Peg                	*  	343.80696653 +08.81616477  	 4.90 	 4.90 	 4.90 	 4.86 	 4.88 	A1V                   
202 	* P Cyg                  	s*b	304.44667535 +38.03293131  	 4.66 	 5.24 	 4.82 	 4.28 	 4.02 	B1-2_Ia-0_ep          
203 	* ups04 Eri              	SB*	064.47359336 -33.79834914  	 3.07 	 3.44 	 3.56 	 3.57 	 3.68 	B9V                   
204 	HR 7955                  	SB*	311.33803662 +57.57972444  	     ~	 5.05 	 4.51 	 4.2  	 3.9  	F8IV-V+F9IV-V         
205 	* 41 Ari                 	** 	042.49597183 +27.26050723  	     ~	 3.515	 3.606	     ~	     ~	B8Vn                  
206 	* phi And                	Be*	017.37552340 +47.24179429  	 3.84 	 4.18 	 4.25 	 4.22 	 4.27 	B5IIIe                
207 	* pi. Vir                	SB*	180.21829342 +06.61432142  	     ~	 4.775	 4.659	     ~	 4.53 	A5V                   
