C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST09:29:02

Vmag < 6
--------

Number of objects : 5156

 #  ;            identifier             ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;   radvel   ;  Mag V  
1553;HD 56342                           ;108.8377838879400 -30.6864493983300; -13.502 14.360     ;4.7717    ;33.4        ;5.337    
1554;Cl Collinder 132                   ;108.4850 -30.7580                  ;   -4.140 3.732     ;1.501     ;26.0        ;3.6      
1555;HD 55718                           ;108.10759566 -36.54438429          ;     -9.80 6.12     ;3.59      ;17.00       ;5.97     
1556;HD 56779                           ;109.2058676006400 -36.5926329068700;   -9.901 6.418     ;3.5295    ;9.00        ;5.009    
1557;* ups01 Pup                        ;109.5766389554 -36.7339535894      ;    -10.25 5.82     ;4.06      ;18.6        ;4.67     
1558;* ups02 Pup                        ;109.6591058146800 -36.7427374811400;  -10.172 6.621     ;2.9923    ;18.00       ;5.11     
1559;Cl Collinder 135                   ;109.3620 -37.0440                  ;   -9.975 6.157     ;3.278     ;16.03       ;2.1      
1560;* pi. Pup                          ;109.28565325 -37.09747115          ;    -10.05 6.47     ;4.04      ;15.80       ;2.70     
1561;* A Pup                            ;107.2127844325 -39.6556549856      ;    -10.69 7.71     ;4.48      ;19.5        ;4.83     
1562;HD 56733                           ;109.1327076060100 -38.3189224033100;  -12.882 6.675     ;3.5757    ;32.00       ;5.797    
1563;* F Pup                            ;109.6396354728900 -39.2102841972200;   -9.529 9.565     ;7.3579    ;34.90       ;5.243    
1564;* E Pup                            ;108.0658625089400 -40.4988209391500; -18.376 -8.220     ;7.5641    ;-4.40       ;5.31     
1565;HD 56410                           ;108.7381379107600 -41.4263947736400;    3.627 9.296     ;5.6468    ;24.40       ;5.942    
1566;* 66 Aur                           ;111.0352814953800 +40.6723888559700; -4.081 -21.023     ;3.2175    ;22.62       ;5.188    
1567;* 65 Aur                           ;110.5109066819800 +36.7605836024500;-97.064 -22.733     ;12.6451   ;22.14       ;5.120    
1568;* rho Gem                          ;112.27799529 +31.78454925          ;  159.09 193.29     ;55.41     ;-3.70       ;4.18     
1569;* 64 Gem                           ;112.3351701736200 +28.1182762995100;-33.931 -52.782     ;18.5038   ;35.4        ;5.064    
1570;* b Gem                            ;112.4531745852000 +27.9161203620500;-29.312 -21.779     ;7.718     ;35.30       ;5.010    
1571;* iot Gem                          ;111.4316471500 +27.7980813469      ; -122.66 -84.03     ;27.10     ;7.432       ;3.79     
1572;* 59 Gem                           ;111.1393880077100 +27.6378559744900;  13.722 15.078     ;14.9819   ;-4.5        ;5.759    
1573;* 57 Gem                           ;110.8687970761500 +25.0505312834400;-66.676 -29.082     ;18.1774   ;5.46        ;5.022    
1574;* del Gem                          ;110.0307490954 +21.9823160392      ;   -15.13 -9.79     ;53.94     ;4.1         ;3.53     
1575;* 63 Gem                           ;111.9348222072700 +21.4452790250300;-56.450 -121.068    ;30.8067   ;-82.30      ;5.24     
1576;* 56 Gem                           ;110.4869241276400 +20.4436581324800;-60.474 -23.693     ;7.6812    ;4.80        ;5.080    
1577;* 61 Gem                           ;111.7347018405100 +20.2575547719200;   2.113 -8.169     ;7.4357    ;9.00        ;5.935    
1578;* 6 CMi                            ;112.4490905217 +12.0065652036      ;   -0.57 -18.85     ;5.70      ;-16.31      ;4.531    
1579;* 1 CMi                            ;111.2424167511400 +11.6695229131400;-15.574 -15.478     ;10.9796   ;-1.00       ;5.361    
1580;* eps CMi                          ;111.4120820166000 +09.2760904223900;  -4.583 -8.414     ;3.9908    ;-6.90       ;4.986    
1581;* gam CMi                          ;112.0408095289700 +08.9255244800600; -62.112 11.141     ;3.134     ;46.80       ;4.30     
1582;* bet CMi                          ;111.7876739054 +08.2893157625      ;  -51.76 -38.29     ;20.17     ;22.00       ;2.89     
1583;HD 57006                           ;109.9485222591300 +07.1429477496000; 60.731 -58.963     ;18.4881   ;22.986      ;5.910    
1584;* eta CMi                          ;112.0086451902400 +06.9419706076400; -3.109 -43.633     ;10.2172   ;17.20       ;5.22     
1585;HD 56989                           ;109.8432266780900 +02.7406760698400;  -4.551 -9.272     ;4.4215    ;33.26       ;5.887    
1586;HD 57608                           ;110.5144945299000 +00.1771216663600;   2.231 -1.786     ;1.8329    ;-5.00       ;5.971    
1587;HD 59311                           ;112.3277836026000 -01.9053254119300;-11.102 -10.965     ;3.99      ;-4.9        ;5.572    
1588;HD 57749                           ;110.6057913662000 -05.9828289142000; -11.890 -8.641     ;3.8939    ;3.90        ;5.816    
1589;HD 58526                           ;111.4633330612500 -05.7749619326400;  -3.631 -2.490     ;1.7289    ;18.39       ;5.962    
1590;HD 59380                           ;112.3569207766144 -07.5512361294434; 43.969 146.958     ;33.6335   ;3.279       ;5.853    
1591;HD 59381                           ;112.3421147007000 -10.3266667299300;  -4.816 -3.887     ;2.6344    ;-7.3        ;5.706    
1592;BD-11 1951                         ;111.96525300 -11.55686320          ;    -3.28 -0.32     ;2.06      ;17.70       ;5.868    
1593;HD 57478                           ;110.2428541520800 -14.3604901993700; -11.702 -0.449     ;5.363     ;13.2        ;5.584    
1594;HD 58461                           ;111.2846474403100 -13.7519769897900;-202.889 -0.468     ;26.8143   ;8.711       ;5.78     
1595;V* R CMa                           ;109.8674105171700 -16.3952486888400;165.693 -138.852    ;23.1638   ;-39.0       ;5.70     
1596;V* NR CMa                          ;111.78329183 -17.86486144          ;     -2.52 1.45     ;10.83     ;-29.2       ;5.625    
1597;HD 58343                           ;111.1674472184000 -16.2014728468900; -4.986 -20.734     ;3.2782    ;-4.5        ;5.19     
1598;HD 57821                           ;110.5563708775 -19.0166012775      ;    -1.69 -6.91     ;6.78      ;32.90       ;4.950    
1599;HD 59136                           ;111.9289030643700 -22.8591905529600;  -1.401 -2.279     ;2.7588    ;25.90       ;5.97     
1600;HD 59612                           ;112.4642179095500 -23.0242902059700;   -2.831 4.172     ;0.7535    ;35.00       ;4.86     
1601;HD 58978                           ;111.7478445236100 -23.0860249109800;   -6.692 4.054     ;1.7919    ;25.00       ;5.56     
1602;HD 57146                           ;109.7136405765200 -26.5858558645100;   -9.099 4.105     ;1.881     ;31.12       ;5.288    
1603;HD 58612                           ;111.3552823203800 -25.2177650869000;  -8.855 -0.039     ;2.2329    ;23.70       ;5.782    
1604;V* MZ CMa                          ;110.2680503141700 -25.8916449203900; -13.220 12.706     ;4.6281    ;23.4        ;5.886    
1605;V* HQ CMa                          ;110.2288140709200 -26.9638368028800;   -4.135 5.821     ;1.5391    ;18.00       ;5.986    
1606;HD 58215                           ;110.8708025777400 -27.8342948326600;  26.466 -4.207     ;4.7843    ;49.97       ;5.356    
1607;HD 58155                           ;110.7529056533000 -31.9237784542000;   -7.964 4.966     ;2.5257    ;23.5        ;5.43     
1608;HD 58535                           ;111.1827256523421 -31.8089047444022;  -21.181 9.185     ;5.1382    ;19.41       ;5.280    
1609;HD 59550                           ;112.2704781400100 -31.4562179216400;   -9.376 4.982     ;2.9027    ;8.00        ;5.768    
1610;HD 59256                           ;111.9964995078400 -29.1558987102200;   -8.561 3.725     ;4.4194    ;4.2         ;5.542    
1611;* eta CMa                          ;111.02375950 -29.30310551          ;     -4.14 5.81     ;1.64      ;41.1        ;2.45     
1612;HD 58286                           ;110.8828961902200 -32.2020655821400;   -6.208 5.285     ;2.5396    ;21.3        ;5.39     
1613;HD 59026                           ;111.6769401541100 -34.1406942949400;   -8.173 5.768     ;2.964     ;7.00        ;5.884    
1614;CD-31 4590                         ;112.21313841 -31.84840349          ;     -9.57 3.59     ;4.38      ;2.00        ;5.94     
1615;* y Pup                            ;112.2737299804200 -38.8120673219900; -19.836 15.281     ;5.0843    ;24.00       ;5.395    
1616;HD 61294                           ;115.0612211837200 +38.3445408731100;-39.997 -10.303     ;3.24      ;46.26       ;5.73     
1617;* 70 Gem                           ;114.6369329852900 +35.0485498459000;  38.492 27.757     ;9.9583    ;-36.33      ;5.572    
1618;* omi Gem                          ;114.7913944263900 +34.5843063308600;-37.975 -105.132    ;19.3338   ;7.30        ;4.90     
1619;* alf Gem                          ;113.64947164 +31.88828222          ;-191.45 -145.19     ;64.12     ;5.40        ;1.58     
1620;* alf Gem A                        ;113.649428450 +31.888276192        ;  -206.3 -148.2     ;      ~   ;6.0         ;1.9      
1621;* alf Gem B                        ;113.650418550 +31.888491992        ;  -206.3 -148.2     ;      ~   ;-1.2        ;3.0      
1622;HD 60318                           ;113.7866801176500 +30.9609179565100;  -25.437 7.399     ;7.912     ;-4.04       ;5.347    
1623;* ups Gem                          ;113.9806250590500 +26.8957444986000;-32.841 -106.002    ;12.8761   ;-21.61      ;4.06     
1624;HD 61603                           ;115.2438274349300 +23.0185286327700; -7.162 -12.340     ;2.8134    ;39.80       ;5.906    
1625;HD 59686                           ;112.9516854623300 +17.0860457565900; 39.385 -75.752     ;11.3298   ;-33.55      ;5.442    
1626;* f Gem                            ;114.8691390334500 +17.6745218379400;   5.374 -1.199     ;5.1083    ;25.38       ;5.05     
1627;* 68 Gem                           ;113.4020065796 +15.8266608119      ;  -28.64 -12.86     ;7.70      ;12.00       ;5.263    
1628;HD 60803                           ;114.1446076275700 +05.8621719365300;-109.817 27.662     ;24.0803   ;4.60        ;5.888    
1629;* alf CMi                          ;114.82549791 +05.22498756          ;-714.59 -1036.80    ;284.56    ;-15.908408  ;0.37     
1630;* del02 CMi                        ;113.2986072637400 +03.2903791840300; -15.909 42.696     ;23.1488   ;-6.20       ;5.571    
1631;* del03 CMi                        ;113.5662191797600 +03.3717243208000;  -2.534 -5.305     ;4.603     ;33.8        ;5.817    
1632;* del01 CMi                        ;113.0247867805900 +01.9144796757500;  -2.129 -0.868     ;3.9896    ;29.1        ;5.233    
1633;* 25 Mon                           ;114.3195459425700 -04.1109816312800; -67.624 16.998     ;15.7974   ;48.33       ;5.131    
1634;V* U Mon                           ;112.6977965189300 -09.7768770770800;   -7.938 1.260     ;1.2778    ;34.6        ;5.82     
1635;* alf Mon                          ;115.3118023700 -09.5511308564      ;  -74.61 -19.59     ;22.07     ;11.161      ;3.93     
1636;HD 59984                           ;113.0240121518800 -08.8813264586200;-91.986 -167.789    ;34.8832   ;54.945      ;5.916    
1637;* 140 Pup                          ;115.0967101784401 -15.2639196417900; -2.171 -27.678     ;4.6915    ;0.50        ;4.951    
1638;V* KQ Pup                          ;113.4498616017700 -14.5239039878500;   -6.997 3.998     ;1.3538    ;22.0        ;4.97     
1639;HD 60855                           ;114.0162212780600 -14.4927719153800;   -7.108 0.542     ;2.0401    ;22.10       ;5.70     
1640;HD 60341                           ;113.3315192351400 -19.4125256642800; 24.196 -70.219     ;10.9801   ;18.62       ;5.630    
1641;V* PT Pup                          ;114.1709801598300 -19.7023402833800;   -6.445 3.783     ;1.5724    ;22.00       ;5.699    
1642;HD 61774                           ;115.0563692091900 -19.6608601141600;  -4.271 12.714     ;4.6036    ;-2.52       ;5.921    
1643;HD 60532                           ;113.5132523495700 -22.2960675479000; -40.180 46.791     ;38.1379   ;61.042      ;4.39     
1644;HD 60345                           ;113.2907329801600 -24.7107342520000;  -4.314 22.216     ;10.6424   ;16.70       ;5.83     
1645;* m Pup                            ;114.5751892067 -25.3648060192      ;    -3.03 -7.42     ;5.27      ;41.00       ;4.67     
1646;* n Pup B                          ;113.5802380523200 -23.4748973485700;-87.258 -11.556     ;32.7919   ;-6.1        ;5.795    
1647;* n Pup A                          ;113.5775735723700 -23.4736646563600; -88.134 -0.860     ;32.7467   ;-4.22       ;5.770    
1648;* n Pup                            ;113.57756940 -23.47366501          ;   -89.46 -0.33     ;31.56     ;-6.50       ;5.09     
1649;HD 60666                           ;113.6449781236900 -27.0122751677600; -46.948 71.571     ;9.8405    ;-5.86       ;5.770    
1650;* k01 Pup                          ;114.7057297618600 -26.8017568161600; -18.556 11.081     ;9.0301    ;23.6        ;4.50     
1651;* k02 Pup                          ;114.7077947219200 -26.8038471632100; -17.567 21.662     ;8.3058    ;33.0        ;4.429    
1652;* p Pup                            ;113.8453817505200 -28.3693347863800; -60.256 -7.742     ;13.6185   ;3.30        ;4.63     
1653;HD 59890                           ;112.6775082330000 -30.9622805355600;  -11.969 1.055     ;2.3999    ;15.87       ;4.65     
1654;* f Pup                            ;114.34212409 -34.96853080          ;   -14.21 16.32     ;9.05      ;24.00       ;4.53     
1655;* z Pup                            ;113.4626730791300 -36.3383924267800;   -7.398 6.062     ;2.5769    ;-9.00       ;5.44     
1656;* e Pup                            ;114.6829109819700 -36.4968328243100;   -7.547 5.591     ;2.789     ;19.00       ;5.80     
1657;* d04 Pup                          ;114.9916295618900 -37.5794242781100;  -0.830 -4.510     ;1.911     ;7.00        ;5.996    
1658;* d02 Pup                          ;114.9325648736300 -38.1392981022000; -21.877 17.036     ;4.8969    ;30.00       ;5.77     
1659;* d03 Pup                          ;114.9494788336400 -38.2606523283500;  -10.200 9.511     ;2.3923    ;22.6        ;5.747    
1660;* d01 Pup                          ;114.8639097396 -38.3080218219      ;   -21.11 15.81     ;5.87      ;26.4        ;4.84     
